Ranking,Nome,Dominio_BR,Dominio_COM,Significado,Nota_Memorabilidade,Nota_Sonoridade,Nota_Branding,Nota_Total,Diferencial_vs_Centrimob
1,Centrimob,centrimob.com.br,centrimob.com,Centro imobiliario,8,9,8,25,BASE - JA REGISTRADO
2,Centrimo,centrimo.com.br,centrimo.com,Centro imo (ultra curto),9,9,9,27,+2 - Mais curto e moderno
3,Centrimov,centrimov.com.br,centrimov.com,Centro movimento,9,9,9,27,+2 - Dinamico movimento
4,Centrimovel,centrimovel.com.br,centrimovel.com,Centro imovel completo,8,8,8,24,-1 - Mais longo mas claro
5,Centrium,centrium.com.br,centrium.com,Centro latino premium,9,10,10,29,+4 - Latino elegante como forum/atrium
6,Centrio,centrio.com.br,centrio.com,Centro IO tech,9,9,9,27,+2 - Tech moderno
7,Centrify,centrify.com.br,centrify.com,Centralizar verbo,8,8,9,25,0 - Tech mas generico
8,Centriq,centriq.com.br,centriq.com,Centro Q inteligente,9,9,9,27,+2 - IQ inteligencia
9,Centrix,centrix.com.br,centrix.com,Centro X tech,9,9,9,27,+2 - X forte tech
10,Centrixx,centrixx.com.br,centrixx.com,Centro XX duplicado,8,9,8,25,0 - Duplicacao forte
11,Centryx,centryx.com.br,centryx.com,Centro YX tech maximo,9,10,9,28,+3 - YX premium tech
12,Centriz,centriz.com.br,centriz.com,Centro Z energia,9,9,9,27,+2 - Z energetico
13,Centrizz,centrizz.com.br,centrizz.com,Centro ZZ duplicado,9,9,9,27,+2 - Duplo Z forte
14,Centrizo,centrizo.com.br,centrizo.com,Centro Z + O,8,9,8,25,0 - ZO interessante
15,Centrizy,centrizy.com.br,centrizy.com,Centro Z + Y,9,9,9,27,+2 - ZY moderno
16,Centria,centria.com.br,centria.com,Centro feminino A,9,9,9,27,+2 - Feminino elegante
17,Centrius,centrius.com.br,centrius.com,Centro latino masculino,9,9,10,28,+3 - Latino premium
18,Centriux,centriux.com.br,centriux.com,Centro UX experience,9,9,9,27,+2 - UX tech
19,Centriox,centriox.com.br,centriox.com,Centro IOX tech,8,9,9,26,+1 - IOX combinado
20,Centreon,centreon.com.br,centreon.com,Centro EON era,8,8,9,25,0 - Era/epoca
21,Centrios,centrios.com.br,centrios.com,Centros plural,8,8,8,24,-1 - Plural menos impacto
