Ranking,Nome,Dominio,Tecnica_Criacao,Significado,Nota_Memorabilidade,Nota_Sonoridade,Nota_Branding,Nota_Total,Categoria
1,Konfio,konfio.com.br,K substituicao + confio,Confianca com K moderno,9,9,9,27,Confianca_Tech
2,Konfie,konfie.com.br,K substituicao + confie,Confie com K imperativo,9,9,9,27,Confianca_Tech
3,Konfirm,konfirm.com.br,K substituicao + confirm,Confirmar com K,9,9,9,27,Confianca_Tech
4,Imovera,imovera.com.br,Imovel + vera (verdadeiro),Imovel verdadeiro,9,9,9,27,Autenticidade_BR
5,Imovis,imovis.com.br,Imovel + vis (visao),Visao do imovel,9,9,9,27,Visao_BR
6,Imovita,imovita.com.br,Imovel + vita (vida),Imovel com vida,9,9,9,27,Vida_BR
7,Imovera,imovera.com.br,Imovel + era (epoca),Nova era imoveis,9,9,9,27,Moderno_BR
8,Propera,propera.com.br,Property + era,Nova era propriedades,9,9,9,27,Moderno_EN
9,Proplux,proplux.com.br,Property + lux (luz),Propriedade premium luz,9,9,10,28,Premium_EN
10,Imolux,imolux.com.br,Imovel + lux,Imovel premium luz,9,9,10,28,Premium_BR
11,Imovex,imovex.com.br,Imovel + vex (vetor),Imovel em movimento,9,9,9,27,Movimento_BR
12,Propvex,propvex.com.br,Property + vex,Propriedade vetor,8,9,9,26,Movimento_EN
13,Imonex,imonex.com.br,Imo + nex (conexao),Imovel conexao,9,9,9,27,Conexao_BR
14,Pronex,pronex.com.br,Pro + nex (conexao),Pro conexao,9,9,9,27,Conexao_Pro
15,Imozil,imozil.com.br,Imo + zil (estilo Zillow),Brasil Zillow,9,10,9,28,Zillow_BR
16,Imozap,imozap.com.br,Imo + zap,Brasil Zap,9,10,9,28,Zap_BR
17,Imozzy,imozzy.com.br,Imo + zzy,Imovel energia dupla,9,10,9,28,Energia_BR
18,Propzap,propzap.com.br,Prop + zap,Property zap rapido,9,10,9,28,Rapido_EN
19,Imorra,imorra.com.br,Imo + rra (forte),Imovel RR forte,8,9,8,25,Forte_BR
20,Proppra,proppra.com.br,Prop + pra (para),Property pra voce,9,9,8,26,Brasileiro_EN
