Palavra_Real,Ocorrencias,Contexto_Uso,Idioma,Pode_Ser_Nome,Nota_Nome,Disponibilidade_Estimada,Observacoes
canonical,366+,Listing canônico (principal),EN,Sim,8,Media,Conceito central do projeto
captador,142+,Corretor que captou o imóvel,PT,Sim,9,Alta,Único no mercado imobiliário
union,142+,Adapter de importação UnionSistemas,EN,Sim,9,Media,Já usado no projeto
marketplace,131+,Modelo de negócio aspiracional,EN,Sim,7,Baixa,Muito genérico
tenant,509+,Imobiliária/organização multi-tenant,EN,Não,4,N/A,Muito técnico
activity,559+,Logs de atividades,EN,Não,5,N/A,Muito genérico
scheduled,154+,Confirmações agendadas,EN,Não,5,N/A,Muito genérico
confirmation,154+,Sistema de confirmação proprietário,EN/PT,Sim,7,Media,Conceito do projeto
deduplication,18+,Remoção de duplicatas,EN,Não,4,N/A,Muito técnico
fingerprint,50+,Hash de identificação única,EN,Sim,7,Media,Metáfora interessante
slug,100+,URLs amigáveis para SEO,EN,Sim,6,Alta,Tech mas obscuro
verified,80+,Propriedades/dados verificados,EN,Sim,8,Baixa,Conceito de confiança
authentic,30+,Autenticidade de dados,EN,Sim,8,Media,Governança
visibility,131+,Níveis de exposição do imóvel,EN,Não,6,N/A,Muito abstrato
development,94+,Empreendimentos/lançamentos,EN,Não,6,N/A,Muito genérico
construction,42+,Status de construção,EN,Não,4,N/A,Literal demais
processor,50+,Processamento de imagens,EN,Não,3,N/A,Muito técnico
normalizer,14+,Normalização de dados,EN,Não,3,N/A,Muito técnico
validator,25+,Validação de dados,EN,Não,3,N/A,Muito técnico
repository,299+,Camada de dados,EN,Não,2,N/A,Padrão técnico
handler,116+,Endpoints HTTP,EN,Não,2,N/A,Padrão técnico
middleware,50+,Camada intermediária,EN,Não,2,N/A,Padrão técnico
originating,50+,Broker que originou o imóvel,EN,Sim,7,Alta,Conceito de origem
network,131+,Visibilidade em rede,EN,Não,5,N/A,Muito genérico
private,131+,Visibilidade privada,EN,Não,4,N/A,Muito genérico
public,500+,Visibilidade pública/frontend,EN,Não,3,N/A,Muito genérico
stale,30+,Dados desatualizados,EN,Sim,6,Alta,Inusitado mas negativo
incomplete,50+,Dados incompletos,EN,Não,4,N/A,Negativo
partial,40+,Dados parciais,EN,Não,4,N/A,Negativo
pending,80+,Pendente confirmação,EN,Não,4,N/A,Muito genérico
indexation,20+,Reajuste de aluguel,EN,Não,3,N/A,Técnico demais
guarantee,30+,Garantia locatícia,EN,Não,5,N/A,Genérico
