Categoria,Nome,Dominio,Conceito_Base,Significado,Nota_Memorabilidade,Nota_Sonoridade,Nota_Branding,Nota_Total,Observacoes
Prefixo_Central,Centralimo,centralimo.com.br,Central + Imo,Imovel central,8,8,8,24,Longo mas claro
Prefixo_Central,Centrimo,centrimo.com.br,Centr + Imo,Centro imovel curto,9,9,9,27,Curto e direto
Prefixo_Central,Centrimov,centrimov.com.br,Centri + Mov,Centro movimento,9,9,9,27,Dinamico
Prefixo_Central,Centrimob,centrimob.com.br,Centri + Mob,Centro imobiliario,8,9,8,25,JA REGISTRADO
Prefixo_Core,Coreimo,coreimo.com.br,Core + Imo,Nucleo imovel,9,9,9,27,Core = essencial
Prefixo_Core,Corimo,corimo.com.br,Cor + Imo,Coracao imovel,9,9,9,27,Curto forte
Prefixo_Core,Corimov,corimov.com.br,Cori + Mov,Coracao movimento,8,9,8,26,Movimento core
Prefixo_Core,Corimob,corimob.com.br,Cori + Mob,Coracao imobiliario,8,8,8,24,Similar centrimob
Prefixo_Hub,Hubimo,hubimo.com.br,Hub + Imo,Hub imovel,8,8,8,24,Hub obvio
Prefixo_Hub,Hubimov,hubimov.com.br,Hub + Imov,Hub imovel movimento,8,8,8,24,Movimento hub
Prefixo_Hub,Hubimob,hubimob.com.br,Hub + Imob,Hub imobiliario,7,7,7,21,Muito literal
Prefixo_Nexus,Neximo,neximo.com.br,Nex + Imo,Nexo imovel,9,9,9,27,Conexao central
Prefixo_Nexus,Neximov,neximov.com.br,Nex + Imov,Nexo movimento,9,9,9,27,Movimento nexo
Prefixo_Nexus,Neximob,neximob.com.br,Nex + Imob,Nexo imobiliario,8,8,8,24,Similar centrimob
Prefixo_Nexus,Nexium,nexium.com.br,Nex + Ium,Nexo latino premium,9,10,10,29,Latino elegante
Prefixo_Prime,Primeimo,primeimo.com.br,Prime + Imo,Primeiro imovel,8,8,9,25,Prime premium
Prefixo_Prime,Primimo,primimo.com.br,Prim + Imo,Primeiro curto,9,9,9,27,Curto forte
Prefixo_Prime,Primimov,primimov.com.br,Prim + Imov,Primeiro movimento,8,8,8,24,Movimento prime
Prefixo_Prime,Primimob,primimob.com.br,Prim + Imob,Primeiro imobiliario,7,7,8,22,Muito literal
Prefixo_Key,Keyimo,keyimo.com.br,Key + Imo,Chave imovel,9,9,9,27,Chave solucao
Prefixo_Key,Keyimov,keyimov.com.br,Key + Imov,Chave movimento,8,9,8,26,Movimento chave
Prefixo_Key,Keyimob,keyimob.com.br,Key + Imob,Chave imobiliario,8,8,8,24,Similar centrimob
Prefixo_Main,Mainimo,mainimo.com.br,Main + Imo,Principal imovel,8,8,8,24,Main = principal
Prefixo_Main,Mainimov,mainimov.com.br,Main + Imov,Principal movimento,7,8,7,22,Movimento main
Prefixo_Main,Mainimob,mainimob.com.br,Main + Imob,Principal imobiliario,7,7,7,21,Muito literal
Prefixo_Master,Masterimo,masterimo.com.br,Master + Imo,Mestre imovel,8,8,9,25,Master = mestre
Prefixo_Master,Mastimo,mastimo.com.br,Mast + Imo,Mestre curto,9,9,9,27,Curto forte
Prefixo_Master,Mastimov,mastimov.com.br,Mast + Imov,Mestre movimento,8,8,8,24,Movimento master
Sufixo_Central,Imocentral,imocentral.com.br,Imo + Central,Imovel central,8,8,8,24,Longo mas claro
Sufixo_Central,Imocentro,imocentro.com.br,Imo + Centro,Imovel centro,9,9,9,27,Direto PT
Sufixo_Central,Imocentri,imocentri.com.br,Imo + Centri,Imovel centri,9,9,9,27,Moderno
Sufixo_Central,Imocentric,imocentric.com.br,Imo + Centric,Imovel centrico,8,9,9,26,Ingles tech
Sufixo_Core,Imocore,imocore.com.br,Imo + Core,Imovel nucleo,9,9,9,27,Core essencial
