Categoria_Marketing,Nome,Dominio,Estrategia_Branding,Posicionamento,Personalidade_Marca,Nota_Disruptivo,Nota_Memoravel,Nota_Premium,Nota_Total,Inspiracao_Mercado
Neologismo_Emocional,Haaven,haaven.com.br,Heaven + Haven = Paraiso + Refugio,Imovel como santuario emocional,Aspiracional caloroso premium,10,10,10,30,Airbnb vibe - emocional
Neologismo_Emocional,Nestro,nestro.com.br,Nest (ninho) + Metro (cidade),Seu ninho na metrópole,Urbano acolhedor sofisticado,9,10,9,28,Nest + urbanidade
Neologismo_Emocional,Hovvy,hovvy.com.br,Home + Savvy (esperto),Casa inteligente,Jovem tech esperto,9,9,8,26,Tech + casa
Neologismo_Emocional,Dwello,dwello.com.br,Dwell (habitar) + O final,Habitar bem,Minimalista moderno clean,9,10,9,28,Duolingo vibe - O final
Neologismo_Emocional,Roovly,roovly.com.br,Roof (teto) + ly,Teto para todos,Acessivel jovem amigavel,9,9,8,26,Ly suffix jovial
Neologismo_Movimento,Swoove,swoove.com.br,Swoop (movimento suave) + Move,Movimento fluido busca imovel,Dinamico elegante fluido,9,10,9,28,Swoosh Nike energia
Neologismo_Movimento,Glyddo,glyddo.com.br,Glide (deslizar) + DD,Deslize facil na busca,Suave eficiente moderno,9,9,9,27,Movimento suave
Neologismo_Movimento,Floato,floato.com.br,Float (flutuar) + O,Flutuando entre opcoes,Leve sonhador premium,9,9,9,27,Leveza premium
Neologismo_Movimento,Flyx,flyx.com.br,Fly (voar) + X tech,Voe para seu imovel,Rapido aspiracional tech,10,10,9,29,Netflix vibe - YX ending
Neologismo_Movimento,Swyfto,swyfto.com.br,Swift (rapido) + O,Rapidez na busca,Agil moderno eficiente,9,9,8,26,Velocidade
Neologismo_Descoberta,Trovva,trovva.com.br,Trovar (encontrar) + VV,Encontre seu lugar,Descobridor aventureiro confiavel,10,10,9,29,Trova espanhol - descoberta
Neologismo_Descoberta,Seekka,seekka.com.br,Seek (buscar) + KK,Busca ativa,Caçador moderno determinado,9,9,8,26,Seek + duplicacao
Neologismo_Descoberta,Fynddo,fynddo.com.br,Find (achar) + DD nordico,Achar tesouros,Escandinavo clean premium,9,10,9,28,Estilo nordico
Neologismo_Descoberta,Huntly,huntly.com.br,Hunt (caçar) + ly,Cace seu imovel,Ativo determinado jovem,9,9,8,26,Hunting + jovial
Neologismo_Descoberta,Scoutto,scoutto.com.br,Scout (explorador) + TT,Explore possibilidades,Aventureiro curioso moderno,9,9,8,26,Exploracao
